"id","ProductId","ManifestId","Date","TotalFiles","TotalFileSize","SizeDisk","SizeCompressed","TotalChunks","Compression"
"0","0","0","0000-00-00","0","0","0","0","0","0"
"1","4","42616E0B6C54EAE6DCD49BA16CECFA004C0010A9","0000-00-00","0","0","0","0","0","0"
"2","46","0C3D19B8681787293905C848F20553A0D21133C6","0000-00-00","0","0","0","0","0","0"
"3","274","3B9CED847D7E23B90E28BE2E6C93CAA9888CCD29","0000-00-00","0","0","0","0","0","0"
"4","297","253AF98DA6CC17D2B3D1EB8FC090DECAE8293560","0000-00-00","0","0","0","0","0","0"
"5","410","1909B56DC9253FC20498A7FA5CD23BB21C98C1B7","0000-00-00","0","0","0","0","0","0"
"6","413","627796E6DF6801001BCD145A63C5E100C0D8E3C5","0000-00-00","0","0","0","0","0","0"
"7","568","8BA08C16174EAF94D21E87259964AB9B150CABA7","0000-00-00","0","0","0","0","0","0"
"8","569","638702CA919FFEA1CAB00B8B4C4CAAB79928B8B0","0000-00-00","0","0","0","0","0","0"
"9","720","865B13761A6058D99E9DEA652000E07F71EBDC92","0000-00-00","0","0","0","0","0","0"
"10","1651","D5AFC6E918822B3B9C3AF32D3B28C4902D072A60","0000-00-00","0","0","0","0","0","0"
"11","1771","00E80E2ADE2EB90835CD1B050E8DA48EFFF10C88","0000-00-00","0","0","0","0","0","0"
"12","1847","56AFE28FE0749BCB7F0E5F9ECBF4ECEDD9F92695","0000-00-00","0","0","0","0","0","0"
"13","1848","EB846453E724C9B04DAC3B680D1054E8062E7FF4","0000-00-00","0","0","0","0","0","0"
"14","2070","4D701DF86EC78372619C9E7F4B20DD7F92163F05","0000-00-00","0","0","0","0","0","0"
"15","2688","186F2D93B06451652F1450EE12C5B428A7CDB5C5","0000-00-00","0","0","0","0","0","0"
"16","3361","6C91715AD2E9EC2923D7E899AE314CEC8E07BAB3","0000-00-00","0","0","0","0","0","0"
"17","3600","E712FAA394E8943F6C389A35C49AD9A24EE94F93","0000-00-00","0","0","0","0","0","0"
"18","5100","A2DD4FC095A697BB574298DA1F7E4030D26675C0","0000-00-00","0","0","0","0","0","0"
"19","5271","0D793D152D15FB520D1167ABCA8E9819042AC886","0000-00-00","0","0","0","0","0","0"
"20","5277","9C27EF70240A5A76505F3BE6C4C5A5D23FE2829F","0000-00-00","0","0","0","0","0","0"
"21","5404","BFA4FB6C6553B959BBAF822A476149239F57492D","0000-00-00","0","0","0","0","0","0"
"22","5408","DD4D8CE4DCC6B548E2B7344E1556E971B021CB78","0000-00-00","0","0","0","0","0","0"
"23","5595","C8B6241855F055375E5AC4D5E9E02122B51999A4","0000-00-00","0","0","0","0","0","0"
"24","5613","B3A96A24F299EB57CF6BFF35CEA874D32E1C779A","0000-00-00","0","0","0","0","0","0"
"25","11957","4F57AD6CDEA58D6C4C7782B0FD64E28930CCF502","0000-00-00","0","0","0","0","0","0"
"26","13504","376E5AF2B7642581758EC9B6D6152BAFA12E40CD","0000-00-00","0","0","0","0","0","0"
"27","15657","074B157A0B0749CFB60B9A42CD2FC8E53C2F1D2E","0000-00-00","0","0","0","0","0","0"
"28","16232","10747FCF85CE099E585A2EF3DB8956240DA2D4ED","0000-00-00","307","7797052838","3502085542","2532723331","1","1"
"29","16238","547285D55038DE666A6A816CEC78B9472812ACE3","0000-00-00","0","0","0","0","0","0"
"30","635","FB7DECA4CB669728E434DCEF09F59C11E01015D7","0000-00-00","0","0","0","0","0","0"
"31","4865","614DAEDCC451E6D64934E8920AFCB7426A35838C","0000-00-00","0","0","0","0","0","0"
"32","13504","013D060DB6860657C5A6D2C5BEB3C7028520BC21","0000-00-00","0","0","0","0","0","0"
"33","1875","EBD8CD1D9D65EF88823448F42B74AD961B084846","0000-00-00","0","0","0","0","0","0"
"34","3279","0D6617B4B2B2F08CEB1A803325854C115FC4AFFB","0000-00-00","0","0","0","0","0","0"
"35","635","9345AC5B748D3BF368B7DC615436BC088438504A","0000-00-00","0","0","0","0","0","0"
"36","5271","0440C02AE7B4C8E62032AA29FD8A00F14417DB3F","0000-00-00","539","59712644887","3878070039","1551134466","30","3"
"37","5595","A1F8B15BE781E05BCB0E7DC1DF69DB6440B403F5","0000-00-00","0","0","0","0","0","0"
"38","635","EA2FA32A0711F0A9B8C4C9D754AA0BD8A8D9421E","0000-00-00","0","0","0","0","0","0"
"39","4865","E76AEC04282F22C4946D3B0CF98BFD5D0B3A670E","0000-00-00","0","0","0","0","0","0"
"40","635","F86C6D0500528B6DAB1279A7F0B1F9B589B5A06B","0000-00-00","0","0","0","0","0","0"
"41","635","809EF3997AC0656CC084C8285F454DF924F510B0","0000-00-00","0","0","0","0","0","0"
"42","635","D6AEAF82A9CAECE737359C25658FC4E185E228F2","0000-00-00","0","0","0","0","0","0"
"43","635","057608568FF680375663295A9E4A307EF734BCAF","0000-00-00","0","0","0","0","0","0"
"44","635","2994AD0C79041000441C9A94B1E943B78AD5E280","0000-00-00","0","0","0","0","0","0"
"45","635","1D0FC34D98811F004E7A75EED1E0357CA028081D ","0000-00-00","0","0","0","0","0","0"
"46","15657","A32B3DB6BCE1EFDF5ECA4F85631529E497BE9715","0000-00-00","0","0","0","0","0","0"
"47","15657","8588C2C11A03ACB8246C34739CCF9C25EB7F16AE","2022-04-07","1739","47390085921","145445665","2702040760","1","1"
"48","569","B587E8C97DC468CFE0FD1A087AEF937FF8D45E97","0000-00-00","0","0","0","0","0","0"
"49","5595","B83928B75A1D37938D52814D137BCE299D3DCF3E","2022-04-05","0","0","0","0","0","0"
"50","5719","09A1855D0D7F72F673D28F9229B124B55E641228","0000-00-00","137","20584352654","3404483470","3404483470","3","1"
"51","16818","55B334C3547617191341D6FA17894F70306789A4","0000-00-00","0","0","0","0","0","0"
"52","12151","762421532CB745FF8449B3843346975D6ECB2223","0000-00-00","0","0","0","0","0","0"
"54","10","515F5FD8B4BA7669273D90B1CD445A7F8B07DDC6","0000-00-00","0","0","0","0","0","0"
"55","22","58B23052A70EC3FE5D0948F7F4ED246B270E8C03","0000-00-00","0","0","0","0","0","0"
"56","26","4FCADFE4626401EAC8165FDBB32B52784381FE69","0000-00-00","0","0","0","0","0","0"
"58","543","6760759395166DB323ED4A1F708A20CEFDEEC3CD","0000-00-00","0","0","0","0","0","0"
"59","412","CCC56959E4FEE75D62628905332C90F3A637AAF4","0000-00-00","0","0","0","0","0","0"
"61","30","EDC16C0902EF882517E630609F5962BFF8B13D88","0000-00-00","0","0","0","0","0","0"
"62","618","09D48938163F3BA7B090CFB10E7C88796917EBF3","0000-00-00","0","0","0","0","0","0"
"63","85","C8EC1ACDBABD775AEFD0C58A3F94B4A016ACC55A","0000-00-00","0","0","0","0","0","0"
"64","54","F7B994CDC9C16E1AC4124D57EBAB8BE0E09B14B9","0000-00-00","0","0","0","0","0","0"
"65","40","E3E09B9502C9DD6026297A82881F4DC61DBDC86F","0000-00-00","0","0","0","0","0","0"
"67","565","845BEB7C768D5073C9D3E2CDEEE15AFAD82C484D","0000-00-00","0","0","0","0","0","0"
"68","420","23DB238D7796D96A9F6F3D7964EFEE9A00E64127","0000-00-00","0","0","0","0","0","0"
"69","82","CBE6BB88B549AEED932EDF985EBCD212B1BEFCA6","0000-00-00","0","0","0","0","0","0"
"70","1956","EAAD9B114743F46A3AC1CB734A943C71A61E6B8C","0000-00-00","0","0","0","0","0","0"
"71","83","5661CE9422ECCCD33EA0D213DC54BDAF7484B169","0000-00-00","0","0","0","0","0","0"
